"X","SPECIMEN","lat","long","year","ShortMonth","date","res","nmonth","nm","year_nm","long.aea","lat.aea","dem"
52,"CHSC97743",39.706682,-121.564006,2007,"nov","3-Nov","r",11,11,"2007_11",-134024.884267861,188977.009255882,275
53,"CLARK-A1528-1380",34.1529,-118.1215,1939,"jun","21-Jun","nr",6,6,"1939_06",173197.42013714,-427489.631391777,249
54,"CLARK-A1528-5074",34.073,-117.3039,1952,"jun","28-Jun","nr",6,6,"1952_06",248814.807653245,-434531.263284605,292
55,"gr14648",40.35,-122.6775,1992,"may","26-May","nr",5,5,"1992_05",-227405.887590085,262545.358719921,370
56,"gr2174",36.90111,-119.12222,1987,"jul","30-Jul","nr",7,7,"1987_07",78109.3966972614,-123612.683556849,456
57,"HSC74817",41.7872,-123.3104,1978,"jul","3-Jul","nr",7,7,"1978_07",-275571.582631452,423646.64845392,344
58,"HSC95440",39.954,-122.047,2003,"sep","17-Sep","nr",9,9,"2003_09",-174815.372117497,217235.68777503,70
59,"inaturalist",34.102507,-118.016212,2015,"jun","6-Jun","nr",6,6,"2015_06",183020.546638938,-432881.167655659,101
60,"JEPS102556",39.063,-121.288,2001,"nov","2-Nov","r",11,11,"2001_11",-111346.34718859,117097.815619527,82
61,"JEPS103455",39.578755,-121.463532,2002,"oct","17-Oct","r",10,10,"2002_10",-125635.052011784,174627.009910456,274
62,"JEPS104375",39.95,-122.034,2003,"sep","17-Sep","nr",9,9,"2003_09",-173714.865541025,216767.532743284,72
63,"JEPS115012",39.036,-121.295,2007,"nov","13-Nov","r",11,11,"2007_11",-111992.440618498,114105.480881278,82
64,"JEPS115056",39.706637,-121.563725,2007,"nov","3-Nov","nr",11,11,"2007_11",-134000.889086935,188971.612884313,275
65,"JEPS115646",39.761,-121.797,2009,"aug","13-Aug","nr",8,8,"2009_08",-153874.298664186,195364.886259301,81
66,"JEPS115681",38.682458,-122.266444,2009,"oct","27-Oct","nr",10,10,"2009_10",-196930.279150785,76398.4175084359,205
67,"JEPS115775",38.51,-122.232,2009,"oct","12-Oct","nr",10,10,"2009_10",-194389.276574873,57162.6616120711,197
68,"JEPS22729",37.901,-120.907,1958,"jun","6-Jun","nr",6,6,"1958_06",-79646.1533526579,-12443.8327218015,46
69,"JEPS25282",37.937,-120.943,1959,"oct","25-Oct","nr",10,10,"1959_10",-82767.5048927932,-8411.17958597932,44
70,"JEPS26336",35.411,-119.031,1941,"jul","29-Jul","nr",7,7,"1941_07",87918.5769218458,-289097.695647663,132
71,"JEPS29837",39.728,-121.702,1962,"jun","1-Jun","nr",6,6,"1962_06",-145806.312536858,191548.889135444,124
72,"JEPS30278",36.448,-119.963,1959,"may","25-May","nr",5,5,"1959_05",3312.15138397759,-174333.317175134,61
