SPECIMEN,lat,long,year,ShortMonth,date,res
SD126139,34.433,-119.759,1952,sep,2-Sep,nr
SD146222,33.866,-117.05,1999,oct,15-Oct,nr
SD156298,32.892,-116.766,2002,aug,2-Aug,r
SD24138,32.698,-116.985,1939,jan,28-Jan,r
SD42226,37.641,-120.756,1940,nov,6-Nov,nr
SDSU12570,33.251,-116.789,1996,may,7-May,nr
SEINET1004970,38.44972,-120.89361,2006,Oct,23-Oct,nr
SFV1134,38.52,-121.77,1965,jul,16-Jul,nr
SJSU1564,40.829,-121.512,1954,jun,23-Jun,nr
UC1106145,37.94,-122.635,1946,nov,24-Nov,r
UC115338,34.052,-118.242,1893,aug,6-Aug,nr
UC1191371,41.241,-124.084,1949,aug,11-Aug,nr
UC1191372,35.328,-119.375,1948,aug,24-Aug,nr
UC1191373,37.315,-120.932,1948,jul,21-Jul,nr
UC1191374,39.074,-122.911,1946,may,27-May,r
UC1299373,39.056,-122.929,1949,sep,24-Sep,r
UC1543025,33.65,-117.92,1936,jul,26-Jul,nr
UC1561215,38.076,-122.754,1988,oct,29-Oct,r
UC1561423,38.655,-119.529,1986,sep,4-Sep,r
UC1562289,39.518,-121.343,1990,jun,4-Jun,nr
UC1563682,39.85,-122.404,1989,oct,21-Oct,nr
UC1563945,39.261,-123.114,1989,sep,24-Sep,nr
UC1563946,39.8507,-122.4042,1989,Oct,24-Sep,nr
UC1745630,38.805,-121.299,1945,nov,4-Nov,nr
UC1949293,40.272,-122.517,1991,jul,5-Jul,nr
UC204576,39.612,-121.605,1914,jun,2-Jun,nr
UC205476,41.227,-123.649,1920,aug,15-Aug,nr
UC229833,40.94,-123.628,1921,oct,16-Oct,nr
UC421564,37.491,-120.529,1929,jul,21-Jul,nr
UC465730,37.815,-121.284,1907,sep,8-Sep,nr
UC489246,33.174,-116.992,1928,aug,28-Aug,nr
UC579902,38.63,-121.26,1933,sep,9-Sep,nr
UC596424,37.393,-121.072,1934,sep,15-Sep,nr
UC596425,37.639,-120.995,1934,oct,21-Oct,nr
UC635039,39.0248,-122.7616,1930,Aug,,r
UC637082,39.212,-122.182,1934,aug,9-Aug,nr
UC657725,39.825,-123.115,1941,jun,28-Jun,nr
UC71771,39.403,-122.01,1905,sep,14-Sep,nr
UC72588,38.605,-122.859,1896,sep,15-Sep,nr
UC75505,40.514,-122.281,1898,jul,4-Jul,nr
UC766178,37.399,-120.849,1934,oct,21-Oct,nr
UC7699,38.61,-122.868,1897,jun,,nr
UC7705,34.116,-118.179,1893,sep,15-Sep,nr
UC851893,39.78,-122.208,1935,oct,16-Oct,nr
UC933913,36.698,-119.556,1947,jun,1-Jun,nr
UCD105206,38.588,-121.139,2010,jul,20-Jul,nr
UCD149527,38.61958,-121.28972,2014,Jul,5-Jul,nr
UCD39274,38.472,-120.839,1953,jul,29-Jul,nr
UCD39276,35.5,-119.269,1949,jun,7-Jun,nr
UCD40593,38.276,-121.392,2003,jul,15-Jul,nr
UCD50066,38.25,-121.166,1996,jul,23-Jul,nr
UCD53902,38.266,-121.427,1992,sep,18-Sep,nr
UCD73260,38.65,-121.15,2005,jun,11-Jun,nr
